               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.031049,            0.020267,           0.0051048,             0.59178,             0.69794,             0.68608,             0.33539,            0.044584,            0.011452,            0.026795,           0.0086706,           0.0086706,           0.0086706
                  49,            0.031671,            0.019358,           0.0047887,             0.70764,             0.77387,             0.77627,             0.39761,            0.042781,            0.010725,            0.023263,           0.0086423,           0.0086423,           0.0086423
                  50,            0.031054,            0.019203,           0.0048757,             0.66992,             0.81276,             0.75184,              0.3834,            0.044787,            0.011229,            0.020678,            0.008614,            0.008614,            0.008614
                  51,            0.032362,            0.020112,           0.0045706,             0.67439,             0.75085,             0.72243,             0.36488,            0.041478,            0.011762,             0.02359,           0.0085857,           0.0085857,           0.0085857
                  52,            0.032005,              0.0181,           0.0045812,             0.66731,             0.71226,             0.68043,             0.34223,            0.047657,            0.011302,            0.028955,           0.0085574,           0.0085574,           0.0085574
                  53,            0.030558,            0.018674,           0.0044559,             0.69289,             0.75703,             0.70724,             0.35038,            0.042161,            0.011623,            0.028042,           0.0085291,           0.0085291,           0.0085291
                  54,            0.030402,            0.018772,           0.0047746,             0.72089,             0.75195,             0.78326,             0.37912,             0.04723,             0.01187,            0.021008,           0.0085009,           0.0085009,           0.0085009
                  55,            0.031239,            0.018534,           0.0048884,             0.70385,             0.79474,             0.73965,             0.36677,             0.04663,            0.012338,            0.022862,           0.0084726,           0.0084726,           0.0084726
                  56,            0.031731,            0.018401,           0.0035594,              0.6851,              0.7386,             0.73295,             0.33338,            0.047253,            0.012959,            0.023294,           0.0084443,           0.0084443,           0.0084443
                  57,              0.0303,            0.017917,            0.004252,             0.75896,             0.73561,             0.74453,             0.36609,            0.045586,            0.013479,            0.024657,            0.008416,            0.008416,            0.008416
                  58,            0.029242,            0.018202,           0.0043418,             0.72292,             0.72783,              0.7374,             0.35982,            0.044044,            0.012316,            0.023999,           0.0083877,           0.0083877,           0.0083877
                  59,            0.029073,            0.019004,           0.0043017,             0.77686,              0.7294,             0.74928,             0.37117,            0.044272,            0.011162,            0.025926,           0.0083594,           0.0083594,           0.0083594
                  60,            0.029195,            0.019184,           0.0050481,             0.72335,             0.71663,             0.76089,             0.37149,            0.041963,            0.011047,            0.023846,           0.0083311,           0.0083311,           0.0083311
                  61,            0.029823,            0.019293,           0.0042216,             0.76266,             0.74872,             0.75452,             0.36757,            0.045163,            0.011536,            0.024697,           0.0083029,           0.0083029,           0.0083029
                  62,            0.029404,            0.016603,           0.0062598,             0.67981,             0.75915,             0.74206,             0.37219,            0.041402,            0.011969,            0.022925,           0.0082746,           0.0082746,           0.0082746
                  63,            0.027932,             0.01746,           0.0044848,             0.69646,             0.68995,             0.72322,             0.37567,            0.041949,            0.011798,            0.021147,           0.0082463,           0.0082463,           0.0082463
                  64,            0.028864,             0.01702,           0.0050912,             0.70658,             0.73853,             0.74676,             0.38424,            0.040971,            0.011762,             0.02534,            0.008218,            0.008218,            0.008218
                  65,            0.029077,            0.018366,           0.0051881,             0.69343,             0.75719,             0.72227,             0.35882,            0.043438,            0.011465,            0.025088,           0.0081897,           0.0081897,           0.0081897
                  66,            0.029247,            0.017209,           0.0035993,             0.71178,             0.75369,             0.76149,              0.3677,            0.042043,            0.011785,            0.021757,           0.0081614,           0.0081614,           0.0081614
                  67,            0.027399,            0.017122,           0.0036496,             0.77386,             0.76432,             0.79812,             0.39174,            0.040069,            0.011743,            0.022901,           0.0081331,           0.0081331,           0.0081331
                  68,            0.027857,            0.017166,           0.0041421,             0.73351,             0.74336,             0.76745,             0.37507,            0.041522,            0.011176,            0.023332,           0.0081049,           0.0081049,           0.0081049
                  69,            0.027375,            0.017282,           0.0040493,             0.74061,             0.77874,             0.78345,             0.38147,            0.042139,            0.011596,            0.023447,           0.0080766,           0.0080766,           0.0080766
                  70,            0.028619,            0.016762,           0.0039777,             0.70212,             0.78976,             0.74482,             0.35861,             0.04337,            0.011733,            0.024264,           0.0080483,           0.0080483,           0.0080483
                  71,            0.027711,            0.018221,           0.0051189,             0.73501,             0.78406,             0.76565,             0.36031,            0.041512,            0.011651,            0.021369,             0.00802,             0.00802,             0.00802
                  72,            0.029051,            0.016493,           0.0033355,             0.66837,             0.73499,             0.70106,             0.31675,            0.045158,            0.011706,            0.022996,           0.0079917,           0.0079917,           0.0079917
                  73,            0.028441,            0.017015,            0.004315,             0.71853,              0.7661,             0.72883,             0.34633,            0.045874,            0.011927,            0.021463,           0.0079634,           0.0079634,           0.0079634
                  74,            0.027478,            0.017372,            0.004439,             0.80009,             0.69134,             0.75179,             0.36695,            0.044064,            0.012847,             0.01909,           0.0079351,           0.0079351,           0.0079351
                  75,              0.0289,            0.018186,           0.0031547,              0.7398,             0.74463,             0.74749,             0.36798,            0.044552,            0.012601,            0.019945,           0.0079069,           0.0079069,           0.0079069
                  76,            0.028109,            0.018341,           0.0039522,             0.71817,             0.76098,             0.74085,             0.36153,            0.041902,            0.011997,            0.020934,           0.0078786,           0.0078786,           0.0078786
                  77,            0.028203,            0.017461,           0.0039687,             0.73831,             0.75646,              0.7285,             0.38401,            0.043349,            0.011971,            0.019562,           0.0078503,           0.0078503,           0.0078503
                  78,             0.02767,            0.016752,           0.0033239,              0.7336,             0.74278,             0.73702,             0.36637,            0.041618,              0.0122,            0.022693,            0.007822,            0.007822,            0.007822
                  79,            0.026919,              0.0163,           0.0039118,             0.71575,             0.77808,              0.7695,             0.40332,             0.04423,            0.012042,            0.022718,           0.0077937,           0.0077937,           0.0077937
                  80,            0.027126,            0.017511,           0.0026056,             0.74282,             0.75919,             0.74875,             0.37431,            0.047471,            0.011936,            0.020237,           0.0077654,           0.0077654,           0.0077654
                  81,            0.026064,            0.015216,           0.0035651,             0.70334,              0.7721,             0.78039,             0.39367,            0.045514,            0.011721,            0.020054,           0.0077371,           0.0077371,           0.0077371
                  82,            0.026315,            0.017346,            0.003558,              0.7782,             0.74778,             0.79157,             0.36924,            0.047566,            0.012251,            0.017945,           0.0077089,           0.0077089,           0.0077089
                  83,            0.026545,            0.016049,           0.0044912,             0.70604,             0.77949,             0.78555,             0.38411,            0.044961,            0.012126,            0.021672,           0.0076806,           0.0076806,           0.0076806
                  84,            0.026078,            0.016488,            0.003289,             0.67522,             0.81756,               0.769,             0.37799,            0.046924,            0.012312,            0.022221,           0.0076523,           0.0076523,           0.0076523
                  85,            0.024519,             0.01486,           0.0034211,             0.72136,              0.7837,             0.78318,             0.37602,            0.044911,            0.012601,            0.021043,            0.007624,            0.007624,            0.007624
                  86,            0.024746,            0.015978,           0.0034465,             0.78609,             0.75163,             0.78517,             0.40144,            0.043472,            0.012834,            0.024135,           0.0075957,           0.0075957,           0.0075957
                  87,            0.025287,            0.017978,           0.0033292,              0.7574,             0.75653,             0.75533,             0.37058,            0.045278,            0.012609,            0.027013,           0.0075674,           0.0075674,           0.0075674
                  88,            0.026738,            0.016955,            0.003249,             0.75825,             0.77041,             0.78836,             0.39353,            0.044847,            0.012077,            0.027599,           0.0075391,           0.0075391,           0.0075391
                  89,            0.025723,            0.014923,           0.0034557,             0.77362,             0.72025,             0.75925,             0.38456,            0.047384,            0.011924,             0.02585,           0.0075109,           0.0075109,           0.0075109
                  90,            0.024911,            0.015352,           0.0032714,             0.65245,             0.84348,             0.78691,             0.39748,            0.043346,            0.011848,            0.023684,           0.0074826,           0.0074826,           0.0074826
                  91,            0.024817,            0.015522,             0.00402,             0.73009,             0.79781,             0.77732,             0.38795,            0.046052,            0.012744,            0.022765,           0.0074543,           0.0074543,           0.0074543
                  92,            0.025655,            0.016174,           0.0032593,             0.78477,             0.75195,             0.78263,             0.36817,             0.04801,             0.01274,            0.025197,            0.007426,            0.007426,            0.007426
                  93,            0.024626,            0.017429,            0.003038,             0.71624,             0.78107,             0.79342,             0.38922,            0.043753,            0.012693,             0.02574,           0.0073977,           0.0073977,           0.0073977
                  94,            0.025147,            0.016818,           0.0027053,             0.75594,             0.79782,             0.81477,             0.38668,            0.044476,            0.012293,            0.022127,           0.0073694,           0.0073694,           0.0073694
                  95,            0.024658,            0.015084,           0.0028706,             0.79643,             0.70413,             0.77462,             0.36182,             0.04709,            0.011987,            0.027458,           0.0073411,           0.0073411,           0.0073411
                  96,            0.025336,            0.014961,           0.0035358,             0.80766,             0.73855,             0.79951,              0.3907,            0.045932,            0.012345,            0.023721,           0.0073129,           0.0073129,           0.0073129
                  97,            0.024865,            0.016702,           0.0033178,             0.77797,             0.68474,             0.77111,             0.36601,            0.047183,            0.013421,            0.026538,           0.0072846,           0.0072846,           0.0072846
                  98,            0.024822,            0.016943,           0.0031334,             0.73094,             0.73839,             0.74255,             0.36189,            0.049233,            0.013316,            0.022163,           0.0072563,           0.0072563,           0.0072563
                  99,            0.024428,             0.01496,             0.00314,             0.77858,             0.75043,             0.76394,             0.36576,            0.047506,            0.013296,            0.026747,            0.007228,            0.007228,            0.007228
                 100,            0.024635,            0.015404,           0.0034828,             0.72964,             0.73408,             0.72927,             0.33799,            0.049252,            0.013165,            0.033387,           0.0071997,           0.0071997,           0.0071997
                 101,             0.02458,            0.015282,            0.003271,             0.73834,             0.75835,             0.76441,             0.37027,            0.046395,            0.012873,            0.025971,           0.0071714,           0.0071714,           0.0071714
                 102,            0.024109,            0.016484,           0.0026479,             0.80031,             0.77349,             0.77229,              0.3838,            0.046133,            0.012893,            0.024819,           0.0071431,           0.0071431,           0.0071431
                 103,             0.02296,            0.015836,           0.0031977,             0.71675,             0.76824,             0.74759,              0.3706,            0.046316,            0.012729,            0.025424,           0.0071149,           0.0071149,           0.0071149
                 104,            0.024031,            0.014717,            0.003331,             0.79086,             0.75257,             0.79907,             0.39486,            0.044881,             0.01269,            0.023551,           0.0070866,           0.0070866,           0.0070866
                 105,            0.023232,            0.014616,           0.0026007,             0.71172,             0.81318,             0.78578,             0.38773,            0.044523,            0.012354,            0.022781,           0.0070583,           0.0070583,           0.0070583
                 106,             0.02379,               0.015,           0.0027194,              0.7634,             0.79673,             0.77276,             0.38659,            0.045437,            0.012431,            0.027946,             0.00703,             0.00703,             0.00703
                 107,            0.024082,             0.01568,            0.002809,             0.78632,             0.77467,             0.80138,             0.39698,            0.043204,            0.012634,            0.021089,           0.0070017,           0.0070017,           0.0070017
                 108,            0.022281,            0.014375,           0.0034587,             0.69271,             0.82492,             0.79637,              0.4123,            0.045207,            0.012697,            0.035605,           0.0069734,           0.0069734,           0.0069734
                 109,            0.023064,            0.015668,           0.0030626,             0.75621,             0.77168,             0.78324,              0.3956,            0.045007,            0.012983,            0.018722,           0.0069451,           0.0069451,           0.0069451
                 110,            0.023096,            0.015483,           0.0032784,              0.7655,             0.77997,             0.78302,             0.38039,            0.044518,            0.012909,            0.021254,           0.0069169,           0.0069169,           0.0069169
                 111,            0.022583,            0.015529,           0.0027451,             0.76275,             0.80998,             0.80733,             0.38344,            0.045211,            0.012868,            0.019348,           0.0068886,           0.0068886,           0.0068886
                 112,            0.022698,            0.016624,           0.0034508,             0.76261,             0.79643,             0.81186,             0.39419,            0.043468,            0.012848,             0.01942,           0.0068603,           0.0068603,           0.0068603
                 113,            0.023773,            0.014308,           0.0020877,             0.73383,             0.78406,             0.78402,             0.38988,            0.047599,            0.013154,            0.019979,            0.006832,            0.006832,            0.006832
                 114,            0.022763,             0.01365,            0.002425,             0.71296,             0.82132,             0.79735,             0.37053,            0.045404,            0.012828,            0.022762,           0.0068037,           0.0068037,           0.0068037
                 115,             0.02269,            0.015403,           0.0021582,             0.70209,             0.85325,             0.80381,             0.39229,            0.046471,             0.01231,            0.021736,           0.0067754,           0.0067754,           0.0067754
                 116,            0.023879,            0.014208,           0.0016154,             0.73261,             0.79156,               0.783,             0.38242,            0.044589,            0.013364,            0.022189,           0.0067471,           0.0067471,           0.0067471
                 117,            0.023477,            0.014278,           0.0022379,             0.72749,             0.83869,              0.7994,             0.36851,            0.046827,            0.013499,            0.023373,           0.0067189,           0.0067189,           0.0067189
                 118,            0.022628,            0.014971,           0.0020843,             0.72066,             0.78725,             0.75978,             0.37163,            0.044592,            0.013627,            0.025399,           0.0066906,           0.0066906,           0.0066906
